epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.491,0.94784,2.0714,1.22661,0.71919,0.6968,0.7666,0.55693,0.91224,1.30666,1.13703,0.000138115,0.000138115,0.000138115
2,996.498,1.00944,1.42328,1.25557,0.66695,0.61966,0.67472,0.45913,1.04324,1.40822,1.25715,0.000271628,0.000271628,0.000271628
3,1601.62,1.05923,1.447,1.29448,0.63063,0.57126,0.61457,0.39818,1.15692,1.45929,1.3571,0.000399637,0.000399637,0.000399637
4,2160.48,1.08622,1.44417,1.32072,0.56366,0.57159,0.56717,0.36245,1.17416,1.47388,1.36855,0.00039223,0.00039223,0.00039223
5,2774.16,1.06433,1.37059,1.30681,0.64031,0.57512,0.61969,0.40121,1.16323,1.34728,1.35345,0.000383974,0.000383974,0.000383974
6,3303.14,1.05518,1.35376,1.30029,0.60207,0.5595,0.57816,0.35651,1.20867,1.4508,1.39821,0.000375717,0.000375717,0.000375717
7,3850.03,1.04347,1.29387,1.29399,0.6466,0.6022,0.65375,0.4337,1.13296,1.27392,1.33123,0.00036746,0.00036746,0.00036746
8,356.039,0.99092,1.21205,1.2512,0.67624,0.61203,0.66551,0.43954,1.14815,1.2283,1.33841,0.000359204,0.000359204,0.000359204
9,842.391,0.97406,1.11194,1.24585,0.68931,0.61705,0.66347,0.43813,1.11587,1.23869,1.31611,0.000350947,0.000350947,0.000350947
10,1398.33,0.92997,1.03423,1.21396,0.662,0.62473,0.66583,0.44651,1.1084,1.18846,1.32432,0.000342691,0.000342691,0.000342691
11,1988.97,0.91618,0.9863,1.19963,0.66996,0.62568,0.65811,0.44251,1.10475,1.21623,1.33208,0.000334434,0.000334434,0.000334434
12,2562.82,0.89731,0.96453,1.19633,0.70321,0.64819,0.69878,0.47075,1.10385,1.10556,1.32119,0.000326177,0.000326177,0.000326177
13,3115.85,0.8757,0.94317,1.18108,0.70962,0.63432,0.69352,0.4678,1.09543,1.10833,1.31858,0.000317921,0.000317921,0.000317921
14,3642.32,0.87439,0.91651,1.17997,0.69214,0.64401,0.69993,0.47167,1.11281,1.12744,1.32675,0.000309664,0.000309664,0.000309664
15,4222.95,0.91201,0.97638,1.20656,0.70157,0.66211,0.71546,0.48745,1.0933,1.08467,1.32101,0.000301408,0.000301408,0.000301408
16,313.349,0.83236,0.8487,1.14411,0.71545,0.66869,0.71937,0.49562,1.07592,1.05397,1.2971,0.000293151,0.000293151,0.000293151
17,758.553,0.82012,0.81517,1.14264,0.7477,0.64871,0.72516,0.49127,1.09371,1.06288,1.31823,0.000284894,0.000284894,0.000284894
18,1209.94,0.78996,0.771,1.12192,0.7269,0.67896,0.72585,0.49422,1.07893,1.04086,1.3091,0.000276638,0.000276638,0.000276638
19,1676.13,0.78162,0.74336,1.1128,0.72186,0.63578,0.7003,0.48173,1.07598,1.07078,1.31334,0.000268381,0.000268381,0.000268381
20,2138.11,0.76006,0.7121,1.10491,0.73242,0.68356,0.73152,0.50295,1.07607,1.03679,1.30295,0.000260125,0.000260125,0.000260125
21,2582.04,0.75405,0.69787,1.10361,0.73437,0.67254,0.72793,0.50127,1.07637,1.02525,1.32084,0.000251868,0.000251868,0.000251868
22,3030.47,0.74613,0.67776,1.09669,0.72284,0.67066,0.72513,0.50033,1.07099,1.01424,1.31008,0.000243611,0.000243611,0.000243611
23,3491.62,0.75799,0.71059,1.1049,0.72967,0.67128,0.7291,0.50674,1.07328,1.03649,1.30591,0.000235355,0.000235355,0.000235355
24,3941.08,0.82034,0.79124,1.14413,0.7083,0.66829,0.71916,0.50058,1.06232,1.02084,1.28939,0.000227098,0.000227098,0.000227098
25,4387.05,0.8061,0.76931,1.1366,0.7701,0.66439,0.73559,0.51031,1.0674,0.97522,1.30232,0.000218842,0.000218842,0.000218842
26,4837.61,0.79837,0.77343,1.13609,0.77038,0.67521,0.7449,0.52374,1.04404,0.96513,1.28403,0.000210585,0.000210585,0.000210585
27,5304.45,0.78218,0.73566,1.12196,0.74176,0.6836,0.74647,0.52493,1.04151,0.97144,1.28007,0.000202328,0.000202328,0.000202328
28,5763.56,0.77014,0.71513,1.10808,0.77699,0.67621,0.75323,0.53547,1.03058,0.95675,1.26968,0.000194072,0.000194072,0.000194072
29,6206.2,0.7743,0.71109,1.10966,0.77028,0.69386,0.75195,0.52858,1.03307,0.94675,1.27275,0.000185815,0.000185815,0.000185815
30,6616.49,0.75558,0.68916,1.10114,0.76742,0.69322,0.75435,0.53193,1.02872,0.94116,1.27118,0.000177559,0.000177559,0.000177559
31,7046.08,0.74884,0.66773,1.09049,0.79167,0.6693,0.75965,0.53908,1.03255,0.94605,1.26962,0.000169302,0.000169302,0.000169302
32,7490.89,0.72907,0.66685,1.09229,0.77586,0.69492,0.75701,0.53684,1.02509,0.93516,1.26794,0.000161045,0.000161045,0.000161045
