epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,676.263,0.99828,3.13708,1.25787,0.6173,0.50152,0.55621,0.3774,1.01408,2.1491,1.24668,0.000138115,0.000138115,0.000138115
2,1344.95,1.08738,2.0344,1.32991,0.57252,0.5978,0.60292,0.39327,1.09395,1.99103,1.31702,0.000271628,0.000271628,0.000271628
3,1974.37,1.099,1.90122,1.32586,0.54099,0.57716,0.5783,0.36854,1.16321,1.94253,1.36045,0.000399637,0.000399637,0.000399637
4,2557.36,1.10714,1.85789,1.33437,0.59169,0.53449,0.56399,0.36158,1.17106,1.91565,1.3683,0.00039223,0.00039223,0.00039223
5,3135.93,1.09273,1.77093,1.32948,0.63665,0.57393,0.60763,0.39423,1.15102,1.79421,1.35339,0.000383974,0.000383974,0.000383974
6,3719.2,1.09125,1.6975,1.32199,0.61833,0.56126,0.59825,0.37896,1.16945,1.76771,1.36643,0.000375717,0.000375717,0.000375717
7,4299.77,1.07833,1.62654,1.30851,0.63282,0.56885,0.62872,0.41657,1.14181,1.70364,1.32725,0.00036746,0.00036746,0.00036746
8,4876.67,1.04679,1.58544,1.29218,0.64057,0.58196,0.63523,0.41468,1.15133,1.60114,1.34839,0.000359204,0.000359204,0.000359204
9,5454.02,1.03469,1.52176,1.29022,0.65645,0.56761,0.62847,0.41461,1.12705,1.60021,1.33471,0.000350947,0.000350947,0.000350947
10,6032.07,1.03537,1.48679,1.28766,0.68777,0.58588,0.63841,0.42103,1.13723,1.55799,1.34089,0.000342691,0.000342691,0.000342691
11,6609.95,1.01677,1.45376,1.27231,0.66482,0.60944,0.6607,0.43606,1.12487,1.4801,1.32295,0.000334434,0.000334434,0.000334434
12,7184.09,0.99316,1.388,1.25678,0.69405,0.60926,0.66999,0.44963,1.10822,1.44482,1.29866,0.000326177,0.000326177,0.000326177
13,7757.01,0.99248,1.35981,1.25425,0.67613,0.62832,0.67412,0.44325,1.12396,1.42753,1.31696,0.000317921,0.000317921,0.000317921
14,8330.19,1.00168,1.33904,1.25507,0.69702,0.61474,0.67607,0.45444,1.10232,1.40794,1.30528,0.000309664,0.000309664,0.000309664
